column_name,data_type
started,time without time zone
server,text
program,text
work_process,integer
user,text
response_time_in_ms,integer
time_in_work_process_ms,integer
wait_time_ms,integer
cpu_time_ms,integer
db_request_time_ms,integer
vmc_elapsed_ms,integer
enqueue_time_ms,integer
enqueues,integer
program_load_time_ms,integer
screen_load_time_ms,integer
load_time,integer
roll_ins,integer
roll_outs,integer
roll_in_time_ms,integer
roll_out_time_ms,integer
roll_wait_time_ms,integer
number_of_roundtrips,integer
direct_read_requests,integer
direct_read_database_rows,integer
direct_read_buffer_requests,integer
direct_read_request_time_ms,integer
direct_read_average_time_rows_ms,integer
sequential_read_request,integer
sequential_read_database_rows,integer
sequential_read_buffer_request,integer
read_pysical_database_calls,integer
sequential_read_request_time_ms,integer
sequential_read_average_time_row_ms,integer
update_requests,integer
update_database_rows,integer
update_pysical_database_calls,integer
update_request_time_ms,integer
update__average_time_rows,integer
delete_requests,integer
delete_database_rows,integer
delete_physical_database_calls,integer
delete_request_time_ms,integer
delete__average_time_row_ms,integer
insert_requests,integer
insert_database_rows,integer
insert_pysical_database_calls,integer
insert_request_times_ms,integer
insert__time_row_ms,integer
work_process_number,integer
maximum_memory_roll_kb,integer
total_allocated_page_memory_kb,integer
maximum_extended_memory_in_task_kb,integer
maximum_extended_memory_in_step_kb,integer
extended_memory_in_use_kb,integer
privilege_memory_in_use_kb,integer
work_progress_in_privilege_mode,boolean
